account_id,company_name,industry,company_size_tier,annual_revenue_usd,employee_count,headquarters,opportunity_id,sales_rep,sales_manager,sales_region,product_name,product_category,list_price,deal_stage,deal_created_date,deal_closed_date,deal_value,loss_reason,data_source
ACCT-082,RavenCroft Studios,Media & Entertainment,Medium,324.19,978,United States,OPP-93810,Oliver Dubois,Brian Nakamura,West,NovaEdge Lite,NovaEdge,55,Won,2024-08-15,2024-12-17,57.0,,CRM
ACCT-085,Horizon Marketing,Marketing & Advertising,Large,2173.98,2928,United States,OPP-24592,Raj Patel,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2023-12-06,2024-03-20,51.0,,CRM
ACCT-073,IndigoVault Finance,Financial Services,Enterprise,2022.14,5113,United States,OPP-13278,Nadia Volkov,Rachel Torres,East,NovaEdge Lite,NovaEdge,55,Won,2024-08-23,2024-09-06,54.0,,CRM
ACCT-012,FreshStart Medical,Healthcare,Small,4.54,9,United States,OPP-46048,Priya Nair,David Kim,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2024-04-10,2024-07-30,5712.0,,CRM
ACCT-033,ThunderBay Retail,Retail,Medium,223.8,299,United States,OPP-42098,Noah Kim,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2024-05-01,2024-09-06,3295.0,,CRM
ACCT-076,LionGate Holdings,Financial Services,Enterprise,7537.24,20293,United States,OPP-39256,Chloe Bergman,Brian Nakamura,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-10-15,2024-01-03,3106.0,,CRM
ACCT-066,WillowBrook Staffing,Professional Services,Medium,291.27,586,United States,OPP-28289,Anika Larsson,Sarah Mitchell,Central,NovaPulse Starter,NovaPulse,550,Won,2024-05-14,2024-05-26,541.0,,CRM
ACCT-006,CrestLine Retail,Retail,Large,497.11,1588,United States,OPP-23434,Fatima Al-Rashid,Amanda Foster,West,NovaEdge Lite,NovaEdge,55,Won,2024-01-14,2024-01-22,51.0,,CRM
ACCT-026,QuartzPoint Trading,Retail,Large,2520.83,3502,United States,OPP-98696,Ethan Clarke,Rachel Torres,East,NovaPulse Standard,NovaPulse,1096,Won,2024-10-11,2024-10-18,1004.0,,CRM
ACCT-027,RiverStone Imports,Retail,Large,894.33,1635,Italy,OPP-81482,Priya Nair,David Kim,Central,NovaEdge Advanced,NovaEdge,3393,Won,2024-03-08,2024-03-28,3604.0,,CRM
