account_id,ticket_id,ticket_created_date,ticket_resolved_date,priority,product_area,contact_channel,reported_by,customer_tier,company_size,region,users_affected,error_rate_pct,downtime_minutes,payment_impact,security_incident,data_loss,customer_sentiment,tickets_last_30_days,data_source
ACCT-083,TKT-966028,2024-07-27,2024-07-27 07:28:19,low,Notifications,Live Chat,Support Staff,Basic,Small,APAC,5,0.9,0,0,0,0,negative,3,Support
ACCT-024,TKT-768507,2023-09-02,2023-09-05 21:24:38,low,Mobile App,Live Chat,Support Staff,Basic,Small,APAC,5,3.19,11,0,0,0,neutral,3,Support
ACCT-077,TKT-786393,2024-04-07,2024-04-11 17:48:46,low,Notifications,Web Portal,Support Staff,Basic,Small,APAC,3,5.98,28,0,0,0,neutral,1,Support
ACCT-035,TKT-156911,2024-09-10,2024-09-15 11:34:43,low,Mobile App,Web Portal,Support Staff,Basic,Medium,APAC,64,0.0,13,0,0,0,neutral,0,Support
ACCT-020,TKT-904694,2024-01-15,2024-01-19 07:30:11,low,Analytics Dashboard,Live Chat,Finance,Basic,Small,APAC,4,0.3,2,0,0,0,neutral,3,Support
ACCT-032,TKT-480941,2025-02-24,2025-02-26 16:36:39,low,Mobile App,Web Portal,Support Staff,Basic,Small,APAC,14,1.57,0,0,0,0,neutral,0,Support
ACCT-036,TKT-332518,2024-09-06,2024-09-06 14:08:19,low,Analytics Dashboard,Web Portal,Support Staff,Plus,Medium,EMEA,27,1.21,0,0,0,0,negative,2,Support
ACCT-076,TKT-938769,2023-06-03,2023-06-04 11:20:20,low,Billing,Web Portal,Product Manager,Basic,Medium,APAC,8,1.56,0,0,0,0,neutral,4,Support
ACCT-041,TKT-211486,2024-03-25,2024-03-27 10:03:53,low,Notifications,Email,Product Manager,Basic,Small,AMER,6,6.88,0,0,0,0,neutral,5,Support
ACCT-058,TKT-961760,2023-07-17,2023-07-21 19:30:27,low,Notifications,Email,DevOps,Plus,Small,AMER,37,9.81,0,0,0,0,neutral,2,Support
ACCT-043,TKT-296653,2024-07-24,2024-07-24 13:31:36,low,Mobile App,Web Portal,Support Staff,Plus,Medium,EMEA,74,2.46,0,0,0,0,neutral,2,Support
ACCT-043,TKT-579247,2023-10-02,2023-10-07 04:49:07,low,Notifications,Email,Support Staff,Basic,Small,APAC,1,1.97,17,0,0,0,neutral,6,Support
ACCT-025,TKT-534603,2023-12-13,2023-12-16 09:00:32,low,Mobile App,Web Portal,DevOps,Enterprise,Medium,EMEA,15,2.97,6,0,0,0,neutral,3,Support
ACCT-076,TKT-717413,2023-07-18,2023-07-23 03:43:19,low,Authentication,Web Portal,Support Staff,Basic,Medium,APAC,34,6.57,0,0,0,0,neutral,0,Support
ACCT-058,TKT-790441,2023-10-05,2023-10-08 17:58:21,low,Notifications,Phone,Support Staff,Basic,Small,APAC,4,4.66,9,0,0,0,neutral,2,Support
ACCT-036,TKT-623059,2025-01-24,2025-01-29 13:47:09,low,Billing,Web Portal,Support Staff,Plus,Medium,APAC,90,1.37,0,0,0,0,neutral,1,Support
ACCT-041,TKT-553834,2023-06-05,2023-06-07 07:58:45,low,Analytics Dashboard,Phone,Support Staff,Plus,Large,AMER,139,1.28,0,0,0,0,neutral,11,Support
ACCT-077,TKT-285810,2025-01-20,2025-01-22 02:27:29,low,Notifications,Web Portal,Support Staff,Basic,Small,APAC,2,7.33,0,0,0,0,negative,1,Support
ACCT-018,TKT-208584,2025-01-13,2025-01-13 19:24:22,low,Authentication,Live Chat,Support Staff,Basic,Small,APAC,18,1.0,0,0,0,0,neutral,2,Support
ACCT-060,TKT-437477,2024-07-01,2024-07-04 00:20:20,low,Data Pipeline,Live Chat,Finance,Plus,Medium,EMEA,85,1.35,0,0,0,0,negative,0,Support
ACCT-043,TKT-738576,2024-10-29,2024-11-02 15:42:14,low,Notifications,Email,Support Staff,Plus,Small,APAC,0,1.61,0,0,0,0,neutral,1,Support
ACCT-053,TKT-408463,2024-02-10,2024-02-11 04:40:55,low,Mobile App,Web Portal,Support Staff,Enterprise,Medium,EMEA,14,1.44,5,0,0,0,neutral,4,Support
ACCT-083,TKT-731792,2024-09-06,2024-09-09 23:46:45,low,Analytics Dashboard,Phone,Support Staff,Plus,Medium,EMEA,20,1.54,11,0,0,0,negative,0,Support
ACCT-011,TKT-429159,2024-11-06,2024-11-07 07:07:52,low,Analytics Dashboard,Phone,Finance,Enterprise,Medium,EMEA,30,1.69,0,0,0,0,,5,Support
ACCT-078,TKT-754487,2024-12-18,2024-12-20 20:55:02,low,Mobile App,Live Chat,Support Staff,Basic,Small,APAC,6,0.45,30,0,0,0,neutral,1,Support
ACCT-031,TKT-239116,2024-03-24,2024-03-27 04:29:30,low,Mobile App,Email,DevOps,Plus,Small,AMER,37,1.07,5,0,0,0,neutral,4,Support
ACCT-018,TKT-438041,2023-11-30,2023-12-02 04:51:55,low,Notifications,Web Portal,Support Staff,Plus,Small,APAC,9,1.19,25,0,0,0,positive,4,Support
ACCT-079,TKT-711116,2023-09-27,2023-09-30 16:02:57,low,Notifications,Live Chat,Support Staff,Plus,Small,APAC,2,4.92,6,0,0,0,neutral,2,Support
ACCT-062,TKT-806995,2025-01-05,2025-01-10 08:51:44,low,Data Pipeline,Email,Product Manager,Plus,Medium,EMEA,65,1.88,0,0,0,0,neutral,3,Support
ACCT-077,TKT-947568,2024-11-28,2024-11-29 05:52:10,low,Analytics Dashboard,Web Portal,Support Staff,Plus,Small,APAC,24,0.33,0,0,0,0,neutral,1,Support
ACCT-041,TKT-252386,2023-06-14,2023-06-16 07:04:20,low,Analytics Dashboard,Web Portal,Support Staff,Plus,Large,EMEA,51,1.59,0,0,0,0,negative,5,Support
ACCT-038,TKT-886626,2023-07-25,2023-07-28 02:08:02,low,Analytics Dashboard,Email,DevOps,Plus,Medium,EMEA,6,9.36,12,0,0,0,neutral,4,Support
ACCT-083,TKT-253541,2023-11-12,2023-11-18 03:01:24,low,Mobile App,Live Chat,Support Staff,Plus,Small,AMER,24,12.22,0,0,0,0,negative,1,Support
ACCT-083,TKT-890200,2023-08-03,2023-08-06 05:04:30,low,Mobile App,Email,DevOps,Plus,Small,AMER,7,1.79,0,0,0,0,neutral,0,Support
ACCT-041,TKT-207458,2024-12-06,2024-12-06 07:08:43,low,Analytics Dashboard,Live Chat,Finance,Basic,Small,AMER,3,0.92,0,0,0,0,positive,1,Support
ACCT-111,TKT-335203,2025-02-20,2025-02-24 12:37:08,low,Analytics Dashboard,Live Chat,DevOps,Plus,Medium,APAC,8,0.86,0,0,0,0,neutral,3,Support
ACCT-075,TKT-935540,2024-12-26,2024-12-27 16:12:54,low,Analytics Dashboard,Phone,Support Staff,Enterprise,Large,EMEA,51,2.65,0,0,0,0,,10,Support
ACCT-018,TKT-500118,2024-03-21,2024-03-24 05:25:11,low,Mobile App,Live Chat,Finance,Basic,Small,APAC,6,2.37,14,0,0,0,neutral,1,Support
ACCT-001,TKT-818430,2024-07-01,2024-07-02 19:08:33,low,Notifications,Email,Support Staff,Basic,Small,APAC,9,2.98,0,0,0,0,neutral,1,Support
ACCT-020,TKT-879794,2024-04-16,2024-04-21 17:47:06,low,Analytics Dashboard,Web Portal,Support Staff,Enterprise,Medium,EMEA,8,4.5,9,0,0,0,positive,2,Support
ACCT-035,TKT-564586,2024-02-13,2024-02-13 22:04:37,low,Analytics Dashboard,Live Chat,DevOps,Plus,Small,AMER,8,2.72,0,0,0,0,positive,4,Support
ACCT-056,TKT-779091,2024-01-17,2024-01-21 23:22:04,low,Analytics Dashboard,Phone,Support Staff,Plus,Small,AMER,6,1.53,11,0,0,0,neutral,2,Support
ACCT-115,TKT-732697,2024-06-11,2024-06-14 15:06:28,low,Authentication,Web Portal,Support Staff,Basic,Small,APAC,13,5.07,0,0,0,0,negative,1,Support
ACCT-035,TKT-408467,2023-12-19,2023-12-22 18:39:38,low,Analytics Dashboard,Email,DevOps,Basic,Small,APAC,8,3.61,0,0,0,0,positive,2,Support
ACCT-024,TKT-296059,2024-09-02,2024-09-02 19:44:46,low,Analytics Dashboard,Web Portal,Executive,Basic,Medium,APAC,24,1.56,0,0,0,0,neutral,1,Support
ACCT-073,TKT-142608,2023-11-25,2023-11-28 11:51:54,low,Analytics Dashboard,Live Chat,Support Staff,Plus,Large,EMEA,132,0.5,0,0,0,0,neutral,12,Support
ACCT-110,TKT-268746,2024-08-12,2024-08-13 05:12:43,low,Mobile App,Web Portal,DevOps,Basic,Small,APAC,5,18.17,0,0,0,0,negative,1,Support
ACCT-025,TKT-588983,2025-01-19,,low,Mobile App,Email,DevOps,Plus,Medium,APAC,32,0.0,0,0,0,0,neutral,2,Support
ACCT-043,TKT-725874,2023-11-06,2023-11-06 07:49:58,low,Analytics Dashboard,Email,DevOps,Basic,Small,AMER,2,3.45,3,0,0,0,neutral,0,Support
ACCT-076,TKT-984096,2023-07-23,2023-07-26 18:13:57,low,Notifications,Web Portal,Finance,Plus,Medium,APAC,39,2.04,0,0,0,0,neutral,6,Support
ACCT-038,TKT-475479,2024-04-04,2024-04-06 03:19:38,low,Authentication,Web Portal,Support Staff,Basic,Small,APAC,17,10.55,0,0,0,0,neutral,2,Support
ACCT-028,TKT-330646,2023-08-14,2023-08-17 20:02:06,low,Analytics Dashboard,Live Chat,DevOps,Enterprise,Medium,EMEA,4,6.72,0,0,0,0,neutral,6,Support
ACCT-024,TKT-267112,2023-12-06,2023-12-08 06:49:16,low,Notifications,Web Portal,Support Staff,Basic,Small,APAC,1,3.5,11,0,0,0,neutral,1,Support
ACCT-079,TKT-466375,2024-07-30,2024-08-01 09:30:22,low,Analytics Dashboard,Web Portal,Finance,Basic,Small,APAC,1,2.57,11,0,0,0,neutral,6,Support
ACCT-043,TKT-447148,2024-01-13,2024-01-17 16:10:55,low,Billing,Web Portal,Finance,Basic,Small,AMER,2,2.81,0,0,0,0,neutral,6,Support
ACCT-072,TKT-748314,2024-06-04,2024-06-05 06:36:40,low,Notifications,Live Chat,DevOps,Basic,Small,APAC,8,6.71,4,0,0,0,neutral,2,Support
