account_id,lead_id,campaign_name,campaign_channel,campaign_date,funnel_stage,customer_segment,annual_income,household_size,days_since_last_engagement,product_spend_tier1,product_spend_tier2,product_spend_tier3,campaign_spend,revenue_attributed,web_visits_per_month,campaign_response,Mkt_Src_Cd,complaint_flag,data_source
ACCT-012,LEAD-01826,Digital Retarget,Partner Referral,2025-01-16,Closed Won,Professional,84835.0,1,0,189,379,218,6027.26,1554.71,1,1,ES,0,Marketing
ACCT-047,LEAD-00001,NovaEdge Awareness,Partner Referral,2025-01-15,Closed Won,Professional,57091.0,1,0,464,64,37,3232.6,1097.02,5,1,CA,0,Marketing
ACCT-030,LEAD-10476,NovaPulse Launch,Email,2024-12-10,Qualified Lead,Professional,67267.0,2,0,134,59,30,2999.77,0.0,2,0,US,0,Marketing
ACCT-068,LEAD-01386,NovaPulse Launch,Organic Search,2024-12-08,Prospect,Professional,32474.0,3,0,10,1,0,1724.86,0.0,7,0,AU,0,Marketing
ACCT-079,LEAD-05371,Q3 Growth Sprint,Paid Social,2024-11-02,Lead,Professional,21474.0,2,0,6,24,34,8501.44,201.62,7,1,ES,0,Marketing
ACCT-055,LEAD-07348,Digital Retarget,Direct Mail,2024-10-09,Closed Won,Enterprise,71691.0,1,0,336,411,43,5736.41,2599.16,2,1,ES,0,Marketing
ACCT-012,LEAD-04073,Q3 Growth Sprint,Direct Mail,2024-08-19,Closed Won,Standard,63564.0,1,0,769,252,65,7672.48,1772.89,6,1,DE,0,Marketing
ACCT-012,LEAD-01991,Digital Retarget,Email,2024-08-07,Lead,Professional,44931.0,2,0,78,11,7,550.95,0.0,5,0,ES,0,Marketing
ACCT-030,LEAD-04047,Enterprise Expansion,Partner Referral,2024-07-31,Qualified Lead,Enterprise,65324.0,2,0,384,102,5,4828.59,0.0,4,0,US,0,Marketing
ACCT-012,LEAD-09477,Enterprise Expansion,Partner Referral,2024-07-31,Qualified Lead,Enterprise,65324.0,2,0,384,102,5,4514.65,0.0,4,0,IN,0,Marketing
ACCT-012,LEAD-02079,Enterprise Expansion,Partner Referral,2024-07-14,Qualified Lead,Standard,81044.0,1,0,450,535,26,11033.51,0.0,1,0,US,0,Marketing
ACCT-080,LEAD-05642,Q3 Growth Sprint,Partner Referral,2024-06-25,Qualified Lead,Growth,62499.0,2,0,140,61,4,9767.63,0.0,4,0,ES,0,Marketing
ACCT-081,LEAD-10530,Digital Retarget,Partner Referral,2024-06-22,Closed Won,Enterprise,67786.0,1,0,431,441,102,5615.57,2438.36,1,1,IN,0,Marketing
ACCT-012,LEAD-02964,NovaPulse Launch,Organic Search,2024-04-27,Lead,Professional,26872.0,1,0,3,8,32,3184.14,0.0,6,0,CA,0,Marketing
ACCT-030,LEAD-10311,Enterprise Expansion,Paid Social,2024-04-15,Qualified Lead,Professional,4428.0,2,0,16,12,321,3677.89,0.0,1,0,ES,0,Marketing
ACCT-113,LEAD-00837,Enterprise Expansion,Email,2024-03-20,Lead,Professional,54809.0,3,0,63,57,22,2018.12,0.0,4,0,ES,0,Marketing
ACCT-080,LEAD-10521,Digital Retarget,Email,2024-03-20,Opportunity,Professional,54809.0,3,0,63,57,22,2369.81,234.71,4,1,ES,0,Marketing
